product_id,text
0132793040,0132793040
0321732944,0321732944
0439886341,0439886341
0511189877,0511189877
0528881469,0528881469
0558835155,0558835155
059400232X,059400232X
0594012015,0594012015
0594017343,0594017343
0594017580,0594017580
0594033896,0594033896
0594033926,0594033926
0594033934,0594033934
0594202442,0594202442
0594287995,0594287995
0594296420,0594296420
0594450209,0594450209
0594450705,0594450705
0594451647,0594451647
0594477670,0594477670
0594478162,0594478162
0594481813,0594481813
0594481902,0594481902
0594482127,0594482127
0594511488,0594511488
0594514681,0594514681
0594514789,0594514789
0594549507,0594549507
0594549558,0594549558
0743610431,0743610431
0777700018,0777700018
0840017677,0840017677
0879393742,0879393742
089933623X,089933623X
0899336795,0899336795
094339676X,094339676X
0970407998,0970407998
0970408005,0970408005
0972683275,0972683275
0977703037,0977703037
0978770382,0978770382
0979526191,0979526191
0983947600,0983947600
0986987662,0986987662
1034385789,1034385789
1039869017,1039869017
1085901386,1085901386
1094441252,1094441252
1182702627,1182702627
1254875778,1254875778
134048160X,134048160X
1348510390,1348510390
1394860919,1394860919
1400501466,1400501466
1400501474,1400501474
1400501520,1400501520
1400501741,1400501741
1400501776,1400501776
1400501784,1400501784
1400532620,1400532620
1400532655,1400532655
140053271X,140053271X
1400532736,1400532736
1400599997,1400599997
1400666937,1400666937
1400698987,1400698987
1400699169,1400699169
1400699894,1400699894
1412789788,1412789788
1427695024,1427695024
1444501399,1444501399
1575839415,1575839415
1590744306,1590744306
1593152523,1593152523
1594243034,1594243034
1600775160,1600775160
1600859453,1600859453
1604550945,1604550945
1610130804,1610130804
1615513388,1615513388
1615527613,1615527613
161552763X,161552763X
1615527648,1615527648
1615527656,1615527656
1615527672,1615527672
1615543562,1615543562
1615543570,1615543570
1615543597,1615543597
1615598774,1615598774
1615598790,1615598790
1615598898,1615598898
1615598901,1615598901
1616813822,1616813822
1616813873,1616813873
1616825375,1616825375
1616825855,1616825855
1616826053,1616826053
1616829338,1616829338
1616831022,1616831022
1616833734,1616833734
1616833742,1616833742
1616855711,1616855711
161685572X,161685572X
1616865059,1616865059
1616873973,1616873973
1616874430,1616874430
1616874457,1616874457
1685560148,1685560148
1685560156,1685560156
1837496870,1837496870
1841566942,1841566942
1891747134,1891747134
1891747665,1891747665
1903874092,1903874092
1932836306,1932836306
1932836470,1932836470
1933622474,1933622474
1934805912,1934805912
1934931403,1934931403
1938401387,1938401387
193886722X,193886722X
1948609819,1948609819
2059500001,2059500001
2724270592,2724270592
3126743692,3126743692
3281220487,3281220487
3744295478,3744295478
3744295508,3744295508
3772384587,3772384587
3777000302,3777000302
3778939742,3778939742
3902217138,3902217138
3930992760,3930992760
3930992868,3930992868
3933280257,3933280257
3936710058,3936710058
3993854683,3993854683
3993854705,3993854705
4293001999,4293001999
4515637851,4515637851
4560170002,4560170002
4935604476,4935604476
5132579469,5132579469
5135000011,5135000011
5342765439,5342765439
5445332209,5445332209
5465426748,5465426748
5499800685,5499800685
5720453652,5720453652
5891057808,5891057808
5891065592,5891065592
6000001134,6000001134
6000002556,6000002556
6000005644,6000005644
6000005822,6000005822
6000006179,6000006179
6000006853,6000006853
6000006896,6000006896
6000006926,6000006926
6000007299,6000007299
6000007388,6000007388
6000007469,6000007469
6000008775,6000008775
6000011474,6000011474
6000012217,6000012217
6000013094,6000013094
6000013248,6000013248
6000089805,6000089805
6000090188,6000090188
6001443505,6001443505
6010098858,6010098858
6010099161,6010099161
6011578497,6011578497
6025005516,6025005516
6025005524,6025005524
6025005559,6025005559
6025005729,6025005729
6123015443,6123015443
6162121364,6162121364
6162122646,6162122646
6175005554,6175005554
6184761986,6184761986
6185553570,6185553570
6209840957,6209840957
6215140473,6215140473
6215140554,6215140554
6215140600,6215140600
6215140651,6215140651
6301977173,6301977173
6374625781,6374625781
6423153744,6423153744
6453125749,6453125749
6457864783,6457864783
6465354276,6465354276
6575464564,6575464564
6666666054,6666666054
6843548881,6843548881
6875342677,6875342677
6875467534,6875467534
6911584914,6911584914
7040034018,7040034018
7108037661,7108037661
7200599557,7200599557
7204079302,7204079302
7214047977,7214047977
7227012573,7227012573
7228061829,7228061829
7256000073,7256000073
7300131190,7300131190
7500653883,7500653883
7507825604,7507825604
7514302255,7514302255
7514900713,7514900713
753247318X,753247318X
753581154X,753581154X
7538617744,7538617744
7538637400,7538637400
7539945370,7539945370
7562434166,7562434166
7564005068,7564005068
7645342153,7645342153
7663989058,7663989058
7793224531,7793224531
7793917731,7793917731
7798902724,7798902724
7799813393,7799813393
7800997065,7800997065
7801641795,7801641795
7805717443,7805717443
7805844267,7805844267
7807210230,7807210230
7807284382,7807284382
7810294245,7810294245
7879876006,7879876006
7879876111,7879876111
7879876588,7879876588
7879876634,7879876634
7879876820,7879876820
7879878017,7879878017
787987965X,787987965X
7879879862,7879879862
787988002X,787988002X
7884139057,7884139057
7889456662,7889456662
7999000043,7999000043
8072112198,8072112198
8126315288,8126315288
817904954X,817904954X
8179049558,8179049558
8179050874,8179050874
8179061795,8179061795
8179064905,8179064905
846130053X,846130053X
8477599297,8477599297
8493674885,8493674885
8493881546,8493881546
8544510019,8544510019
8777419405,8777419405
8805000663,8805000663
8805001716,8805001716
8805002097,8805002097
8814117446,8814117446
8862935293,8862935293
8862935307,8862935307
8862935358,8862935358
8862936826,8862936826
8866133019,8866133019
8866139793,8866139793
8866139807,8866139807
8866139815,8866139815
8866139874,8866139874
8867321587,8867321587
8899368872,8899368872
8915067517,8915067517
8918010656,8918010656
8956240825,8956240825
8956769818,8956769818
8971892501,8971892501
8972756199,8972756199
8987029395,8987029395
8991643515,8991643515
9043413585,9043413585
9148619841,9148619841
9178891604,9178891604
9178910897,9178910897
9269807207,9269807207
9486350493,9486350493
9567677123,9567677123
9573212749,9573212749
9573212897,9573212897
9573212900,9573212900
9573212919,9573212919
9573212943,9573212943
957321296X,957321296X
9573213257,9573213257
9573213850,9573213850
9573213893,9573213893
9574423271,9574423271
9575871979,9575871979
957725280X,957725280X
9577542662,9577542662
9579215065,9579215065
9613007830,9613007830
9613159657,9613159657
962084971X,962084971X
9620849736,9620849736
9620963016,9620963016
9620963024,9620963024
9621404312,9621404312
9621446805,9621446805
9623499043,9623499043
9625991883,9625991883
9625993428,9625993428
9628950703,9628950703
9641766775,9641766775
9642385252,9642385252
9743232656,9743232656
9747383756,9747383756
9749099117,9749099117
9751023327,9751023327
975266119X,975266119X
9752890474,9752890474
9758515810,9758515810
9786546458,9786546458
9790826982,9790826982
9800096507,9800096507
9800359648,9800359648
9800359788,9800359788
9802185809,9802185809
9810521510,9810521510
9820940192,9820940192
9844485819,9844485819
9861013709,9861013709
9861022015,9861022015
9861023909,9861023909
9861053352,9861053352
9861053697,9861053697
986106172X,986106172X
9861769161,9861769161
9862376740,9862376740
9862376899,9862376899
9862510447,9862510447
9862561467,9862561467
9862561556,9862561556
9862720530,9862720530
9864216155,9864216155
9864399985,9864399985
9864399993,9864399993
9864799916,9864799916
9875847194,9875847194
9875849642,9875849642
9875853275,9875853275
9875853399,9875853399
9875855324,9875855324
987585736X,987585736X
9875863270,9875863270
9875880973,9875880973
9875898570,9875898570
9875903035,9875903035
9875908576,9875908576
9875918571,9875918571
987591858X,987591858X
9875922005,9875922005
9875928577,9875928577
9875928585,9875928585
9875961221,9875961221
9875961272,9875961272
9875961477,9875961477
9875961809,9875961809
9875961906,9875961906
9875972428,9875972428
987598180X,987598180X
9875985953,9875985953
9875985996,9875985996
9876003313,9876003313
9876009524,9876009524
987604088X,987604088X
9876048678,9876048678
9876050621,9876050621
9876050885,9876050885
9876069276,9876069276
9876086340,9876086340
9876108980,9876108980
9876114166,9876114166
9876114174,9876114174
9876129082,9876129082
9876137832,9876137832
9876147846,9876147846
9876152114,9876152114
9876180096,9876180096
987618038X,987618038X
9876218468,9876218468
9876610805,9876610805
9882007252,9882007252
988207281X,988207281X
9882104770,9882104770
9882108954,9882108954
9888002198,9888002198
9888013467,9888013467
9966210423,9966210423
9966210784,9966210784
9966210822,9966210822
9966211993,9966211993
9966212000,9966212000
9966218912,9966218912
9966236066,9966236066
9966241299,9966241299
9966246932,9966246932
9966262253,9966262253
9966263608,9966263608
9966263632,9966263632
9966264078,9966264078
9966264108,9966264108
9966264248,9966264248
9966271074,9966271074
9966272542,9966272542
9966274871,9966274871
9966275363,9966275363
9966276688,9966276688
996627779X,996627779X
9966278966,9966278966
9966279008,9966279008
9966279202,9966279202
9966279946,9966279946
9966280065,9966280065
9966281053,9966281053
9966282548,9966282548
996628334X,996628334X
9966283404,9966283404
9966283528,9966283528
9966283536,9966283536
9966284699,9966284699
9966284826,9966284826
9966284869,9966284869
9966284877,9966284877
9966285326,9966285326
9966285563,9966285563
9966285962,9966285962
996628642X,996628642X
9966286624,9966286624
9966286683,9966286683
996628768X,996628768X
9966287876,9966287876
9966288740,9966288740
9966288953,9966288953
9966288961,9966288961
9966288996,9966288996
9966289194,9966289194
9966289291,9966289291
9966289666,9966289666
9966289941,9966289941
9966291741,9966291741
9966292020,9966292020
9966292543,9966292543
9966293124,9966293124
9966293337,9966293337
9966293523,9966293523
9966293787,9966293787
9966294651,9966294651
9966294791,9966294791
9966295364,9966295364
9966295496,9966295496
9966295569,9966295569
9966296565,9966296565
9966296573,9966296573
996629662X,996629662X
9966297693,9966297693
9966298649,9966298649
9966298711,9966298711
9966298800,9966298800
9966298932,9966298932
9966298967,9966298967
9966299211,9966299211
9966299297,9966299297
9966301682,9966301682
9966302255,9966302255
9966303057,9966303057
9966303405,9966303405
9966304932,9966304932
9966306579,9966306579
9966307680,9966307680
9966307699,9966307699
9966307796,9966307796
9966308792,9966308792
9966308814,9966308814
9966308938,9966308938
9966308962,9966308962
9966309004,9966309004
9966309012,9966309012
9966309292,9966309292
9966309756,9966309756
996632416X,996632416X
9966324178,9966324178
9966324194,9966324194
9966326561,9966326561
9966329021,9966329021
9966338926,9966338926
9966362444,9966362444
9966372822,9966372822
9966373810,9966373810
9966377727,9966377727
9966377735,9966377735
9966389199,9966389199
9966389415,9966389415
996638961X,996638961X
9966503080,9966503080
9966519610,9966519610
9966523839,9966523839
9966524142,9966524142
9966528709,9966528709
9966528784,9966528784
9966528865,9966528865
9966529039,9966529039
9966530975,9966530975
9966535284,9966535284
9966540067,9966540067
9966540318,9966540318
9966541160,9966541160
9966541314,9966541314
9966541551,9966541551
9966541721,9966541721
9966559086,9966559086
9966559760,9966559760
9966559965,9966559965
996655999X,996655999X
9966569863,9966569863
996656988X,996656988X
9966570608,9966570608
9966570837,9966570837
9966570918,9966570918
9966571167,9966571167
9966571302,9966571302
9966571485,9966571485
9966571825,9966571825
9966573429,9966573429
9966573445,9966573445
9966573453,9966573453
9966586296,9966586296
9966586385,9966586385
9966598790,9966598790
9966607463,9966607463
996662354X,996662354X
9966624805,9966624805
9966633383,9966633383
9966633545,9966633545
996663486X,996663486X
9966634975,9966634975
9966635335,9966635335
9966643389,9966643389
9966645330,9966645330
9966645691,9966645691
996668574X,996668574X
9966694242,9966694242
9966694277,9966694277
9966694374,9966694374
9966694544,9966694544
9966694587,9966694587
9966694684,9966694684
9966694951,9966694951
9966695141,9966695141
9966695214,9966695214
9966695516,9966695516
9966695680,9966695680
9966695745,9966695745
9966696113,9966696113
9966696210,9966696210
9966696261,9966696261
9966696318,9966696318
9966696482,9966696482
9966696652,9966696652
9966696717,9966696717
9967101407,9967101407
9967149612,9967149612
996715067X,996715067X
9967150920,9967150920
9967156899,9967156899
996715960X,996715960X
9967189371,9967189371
9967218878,9967218878
9967221321,9967221321
9967221615,9967221615
9967221771,9967221771
9967222204,9967222204
9967222247,9967222247
9967222271,9967222271
9967222301,9967222301
9967222336,9967222336
9967223219,9967223219
9967229047,9967229047
9967229314,9967229314
9967229616,9967229616
996723217X,996723217X
9967242299,9967242299
9967310847,9967310847
9967330570,9967330570
9967463619,9967463619
9968293903,9968293903
9970119826,9970119826
9973219600,9973219600
9981710857,9981710857
9981710954,9981710954
9981711780,9981711780
9981711934,9981711934
9981712000,9981712000
9981712515,9981712515
9981718874,9981718874
9981719005,9981719005
9981719455,9981719455
9981719498,9981719498
9981719587,9981719587
9981719900,9981719900
9981721328,9981721328
9981721735,9981721735
998172176X,998172176X
9981723800,9981723800
9981724246,9981724246
9981724319,9981724319
9981724378,9981724378
9981724432,9981724432
9981724564,9981724564
9981724661,9981724661
9981724742,9981724742
9981730432,9981730432
9981730459,9981730459
9981730467,9981730467
9981730661,9981730661
9981731587,9981731587
9981733113,9981733113
